config,instance,result,verified,wall_s,conflicts,decisions,propagations,props_per_s,restarts,learned_clauses_final,reduce_db_calls,original_clauses_after_preprocess,original_lits_after_preprocess,preprocess_time_s
E_focused_stable,Kakuro-easy-112-ext.xml.hg_7,SAT,ok,61.183,47264,442241,40350065,659498,228,47069,0,14742137,52891600,34.967638
E_focused_stable,REGRandom-K4-L1-Seed40.sanitized,UNSAT,no-checker,183.312,2406609,11125152,47579227,259553,4988,185019,0,823936,2748656,9.304039
E_focused_stable,SCPC-500-13,UNSAT,no-checker,27.279,297962,547489,20947242,767889,1468,9466,0,12574,69657,0.027500
E_focused_stable,battleship-16-31-sat,SAT,ok,8.139,262181,585090,6605992,811647,686,6071,0,3976,15376,0.001230
E_focused_stable,brocard_problem_large,UNSAT,no-checker,15.351,673,3392,53276061,3470527,12,658,0,4071457,13076828,2.525349
E_focused_stable,case9,SAT,ok,43.418,1495404,2141209,149837596,3451048,5617,8402,0,3702,8604,0.000997
E_focused_stable,mp1-Nb7T46,SAT,ok,0.802,13681,119231,3932516,4903387,89,13681,0,229320,797524,0.209014
E_focused_stable,sudoku-N30-12,UNSAT,no-checker,239.014,261799,5849309,1267685668,5303813,1295,206489,0,1711402,5803992,3.366281
E_focused_stable,velev-pipe-sat-1.0-b7,SAT,ok,89.900,214773,2725373,444115695,4940108,565,214760,0,8739513,23148849,27.277841
F_focused_stable_resolved,6s299b685_Iter30,SAT,ok,89.750,5097,669722,27275660,303907,39,5092,0,4477552,15019716,8.333700
F_focused_stable_resolved,Kakuro-easy-112-ext.xml.hg_7,SAT,ok,55.716,47264,442241,40350065,724210,228,47069,0,14742137,52891600,33.431101
F_focused_stable_resolved,REGRandom-K4-L1-Seed40.sanitized,UNSAT,no-checker,174.643,2406609,11125152,47579227,272437,4988,185019,0,823936,2748656,9.075077
F_focused_stable_resolved,SCPC-500-13,UNSAT,no-checker,26.822,297962,547489,20947242,780972,1468,9466,0,12574,69657,0.027460
F_focused_stable_resolved,battleship-16-31-sat,SAT,ok,7.849,262181,585090,6605992,841635,686,6071,0,3976,15376,0.001199
F_focused_stable_resolved,brocard_problem_large,UNSAT,no-checker,14.416,673,3392,53276061,3695620,12,658,0,4071457,13076828,2.420135
F_focused_stable_resolved,case9,SAT,ok,43.848,1495404,2141209,149837596,3417205,5617,8402,0,3702,8604,0.001001
F_focused_stable_resolved,mp1-Nb7T46,SAT,ok,0.704,13681,119231,3932516,5585960,89,13681,0,229320,797524,0.190526
F_focused_stable_resolved,sudoku-N30-12,UNSAT,no-checker,285.884,261799,5849309,1267685668,4434266,1295,206489,0,1711402,5803992,3.659550
F_focused_stable_resolved,velev-pipe-sat-1.0-b7,SAT,ok,79.146,214773,2725373,444115695,5611347,565,214760,0,8739513,23148849,24.029983
