config,instance,result,wall_s,conflicts,decisions,propagations,props_per_s,restarts,lucky_solved
C_focused_stable,Kakuro-easy-112-ext.xml.hg_7,SAT,54.684,47264,442241,40350065,737877,228,0
C_focused_stable,SCPC-500-13,UNSAT,25.998,297962,547489,20947242,805725,1468,0
C_focused_stable,velev-pipe-sat-1.0-b7,SAT,74.806,214773,2725373,444115695,5936899,565,0
C_focused_stable,brocard_problem_large,UNSAT,14.302,673,3392,53276061,3725078,12,0
C_focused_stable,battleship-16-31-sat,SAT,7.766,262181,585090,6605992,850630,686,0
C_focused_stable,case9,SAT,42.813,1495404,2141209,149837596,3499815,5617,0
D_focused_stable_ema,sudoku-N30-12,UNSAT,220.167,261799,5849309,1267685668,5757837,1295,0
D_focused_stable_ema,6s299b685_Iter30,SAT,87.767,5097,669722,27275660,310774,39,0
D_focused_stable_ema,REGRandom-K4-L1-Seed40.sanitized,UNSAT,162.284,2406609,11125152,47579227,293185,4988,0
D_focused_stable_ema,mp1-Nb7T46,SAT,0.678,13681,119231,3932516,5800171,89,0
D_focused_stable_ema,Kakuro-easy-112-ext.xml.hg_7,SAT,54.575,47264,442241,40350065,739351,228,0
D_focused_stable_ema,SCPC-500-13,UNSAT,25.914,297962,547489,20947242,808337,1468,0
D_focused_stable_ema,velev-pipe-sat-1.0-b7,SAT,73.730,214773,2725373,444115695,6023541,565,0
D_focused_stable_ema,brocard_problem_large,UNSAT,14.383,673,3392,53276061,3704099,12,0
D_focused_stable_ema,battleship-16-31-sat,SAT,7.834,262181,585090,6605992,843246,686,0
D_focused_stable_ema,case9,SAT,42.995,1495404,2141209,149837596,3485000,5617,0
E_lucky,sudoku-N30-12,UNSAT,184.802,259775,6772770,1312437897,7101860,617,0
E_lucky,6s299b685_Iter30,SAT,18.640,3764,757127,28092395,1507103,19,0
E_lucky,REGRandom-K4-L1-Seed40.sanitized,UNSAT,57.377,1607608,6363482,30213317,526575,3069,0
E_lucky,mp1-Nb7T46,SAT,45.483,425229,1413611,289974291,6375443,1020,0
E_lucky,Kakuro-easy-112-ext.xml.hg_7,SAT,265.347,732107,3188069,617655456,2327727,1533,0
E_lucky,SCPC-500-13,UNSAT,15.386,188144,283638,13830775,898919,508,0
E_lucky,velev-pipe-sat-1.0-b7,SAT,78.296,179968,2576743,436279112,5572176,503,0
E_lucky,brocard_problem_large,UNSAT,12.002,403,1101,22600764,1883083,2,0
E_lucky,battleship-16-31-sat,SAT,0.092,0,0,0,0,0,1
E_lucky,case9,SAT,127.483,4186969,5354982,436186040,3421523,7418,0
F_focused_stable_ema_lucky,sudoku-N30-12,UNSAT,278.917,261799,5849309,1267685668,4545028,1295,0
F_focused_stable_ema_lucky,6s299b685_Iter30,SAT,92.592,5097,669722,27275660,294579,39,0
F_focused_stable_ema_lucky,REGRandom-K4-L1-Seed40.sanitized,UNSAT,177.866,2406609,11125152,47579227,267500,4988,0
F_focused_stable_ema_lucky,mp1-Nb7T46,SAT,0.828,13681,119231,3932516,4749415,89,0
F_focused_stable_ema_lucky,Kakuro-easy-112-ext.xml.hg_7,SAT,63.333,47264,442241,40350065,637110,228,0
F_focused_stable_ema_lucky,SCPC-500-13,UNSAT,28.081,297962,547489,20947242,745958,1468,0
F_focused_stable_ema_lucky,velev-pipe-sat-1.0-b7,SAT,93.455,214773,2725373,444115695,4752188,565,0
F_focused_stable_ema_lucky,brocard_problem_large,UNSAT,19.449,673,3392,53276061,2739270,12,0
F_focused_stable_ema_lucky,battleship-16-31-sat,SAT,0.092,0,0,0,0,0,1
F_focused_stable_ema_lucky,case9,SAT,43.365,1495404,2141209,149837596,3455266,5617,0
