instance,result,time_s,timeout,exit_code
00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised,SAT,13.626,1800,10
0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised,UNSAT,83.937,1800,20
04648cef5bed430ab6429991fa9e107d-ramsey_3_6_19.normalised,TIMEOUT,1800.000,1800,124
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,299.540,1800,20
0f269188707a1b2f309dd1c70bfe22b0-bp4_BC012_CSO_AM_IXA.normalised,UNSAT,337.621,1800,20
16c999d046885c8e51f196e60c34d966-aaai10-planning-ipc5-pathways-17-step20,UNSAT,60.507,1800,20
16ff47a05b769ed6a04c7175cfc6da55-sqrt-mitern170,UNSAT,133.729,1800,20
19951d43eff5fc4ef6fd07d7a5324fa0-oddball_80_5_tto_zp.normalised,TIMEOUT,1800.000,1800,124
1b84df53843ecd90ec8c3c7a01cada6c-ramsey_4_4_18.normalised,TIMEOUT,1800.000,1800,124
1d18837c0ced5c18a3a4693993e61728-SC25_Timetable_C_392_E_45_Cl_25_D_7_T_50.normalised,SAT,10.347,1800,10
1e0d58c7e52319b3b17e343ec7ca6de5-QG7-gensys-icl006.sat05-3132.reshuffled-07,UNSAT,149.035,1800,20
21415e807689ea75536e846a24623de1-clqcl_50_6_5.normalised,TIMEOUT,1800.000,1800,124
2241a1fb5bdbac0c1a3c1980ed8b332d-crusti_g2io_225_0.1_31_25.normalised,SAT,28.845,1800,10
22c8d6aa86d51e15ef5ab37479eda22b-xor_op_n40_d3,UNSAT,1294.338,1800,20
