config,instance,result,time_s,verified,conflicts,decisions,propagations,restarts,search_sec,prop_per_search_s,lucky_attempts,lucky_solved,unknown_reason
B_lbd_metadata,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,15.339000,no-checker,188144,283638,13830775,508,13.470147,1026772.387859,7,0,
B_lbd_metadata,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,67.128000,ok,179968,2576743,436279112,503,40.186552,10856345.973648,7,0,
B_lbd_metadata,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,11.405000,no-checker,403,1101,22600764,2,4.330283,5219234.862941,7,0,
B_lbd_metadata,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,0.090000,ok,0,0,0,0,0.000000,0.000000,7,1,
B_lbd_metadata,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,131.887000,ok,4186969,5354982,436186040,7418,131.637958,3313527.850379,7,0,
C_lbd_ema,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,183.369000,no-checker,221944,5057196,1267030793,1444,178.431100,7100952.653433,7,0,
C_lbd_ema,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,19.902000,ok,5517,732478,32159152,91,7.023760,4578623.415379,7,0,
C_lbd_ema,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,89.293000,no-checker,2248794,9222335,43143571,6713,79.079423,545572.658010,7,0,
C_lbd_ema,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,UNKNOWN,296.636000,skip,2743691,23438165,1037061542,25833,294.773606,3518162.823574,7,0,wall-clock-limit
C_lbd_ema,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,169.150000,ok,388853,2479676,323838071,2426,124.666403,2597637.079494,7,0,
C_lbd_ema,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,12.036000,no-checker,142278,230152,10075058,580,9.448036,1066365.327143,7,0,
C_lbd_ema,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,71.067000,ok,168944,2192771,367643100,1174,43.018266,8546209.184722,7,0,
C_lbd_ema,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,15.063000,no-checker,656,1471,42388008,7,7.664469,5530455.925910,7,0,
C_lbd_ema,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,0.089000,ok,0,0,0,0,0.000000,0.000000,7,1,
C_lbd_ema,fab2022deb130fe3ad1136a5c71b4109-case9,UNKNOWN,295.341000,skip,8733291,11442920,909752549,23809,294.932112,3084616.804968,7,0,wall-clock-limit
