config	instance	seed	result	time_s	conflicts	propagations	decisions
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	7	UNSATISFIABLE	146.1	2273305	623583060	2861039
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	8	UNSATISFIABLE	215.7	2572465	719992777	3250917
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	9	UNSATISFIABLE	135.1	2097216	579593584	2661614
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	0	UNSATISFIABLE	274.1	3192070	935583824	4001995
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	1	UNSATISFIABLE	214.6	2905673	842845525	3658954
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	2	UNSATISFIABLE	249.4	2799047	821053629	3516712
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	3	UNSATISFIABLE	203.6	2724188	799336125	3405675
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	4	UNSATISFIABLE	274.3	3196446	934308204	4005672
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	5	UNSATISFIABLE	244.7	3184769	944855308	3990728
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	6	UNSATISFIABLE	276.8	3479341	1020462637	4371135
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	7	UNSATISFIABLE	240.5	3118037	906142155	3936897
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	8	UNSATISFIABLE	306.8	3116039	913789069	3920072
default	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	9	UNSATISFIABLE	342.4	3263072	953751735	4098153
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	0	SATISFIABLE	3.7	60676	4921663	130383
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	1	SATISFIABLE	5.5	147629	14581411	294265
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	2	SATISFIABLE	16.2	184531	19894948	335461
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	3	SATISFIABLE	10.8	140087	13412936	270874
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	4	SATISFIABLE	7.4	174350	18788750	325068
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	5	SATISFIABLE	13.1	259823	30680027	447366
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	6	SATISFIABLE	16.3	194060	20498731	358086
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	7	SATISFIABLE	6.8	86284	7900743	173254
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	8	SATISFIABLE	5.7	145659	14210546	279339
